date,year,month,depth,temp,ph,do_mgl,sp_cond
1/29/1988,1988,1,48,2.84,7.56,8.4,0.320
1/29/1988,1988,1,46,2.65,7.71,9.8,0.308
1/29/1988,1988,1,44,2.52,7.76,10.4,0.310
1/29/1988,1988,1,40,2.44,7.77,10.5,0.308
1/29/1988,1988,1,35,2.43,7.79,10.6,0.307
1/29/1988,1988,1,42,2.41,7.77,10.6,0.307
1/29/1988,1988,1,30,2.38,7.79,10.7,0.302
1/29/1988,1988,1,25,2.16,7.80,10.9,0.308
1/29/1988,1988,1,20,1.94,7.82,11.3,0.311
1/29/1988,1988,1,18,1.86,7.82,11.3,0.309
1/29/1988,1988,1,16,1.79,7.84,11.5,0.308
1/29/1988,1988,1,14,1.75,7.86,11.8,0.309
1/29/1988,1988,1,12,1.66,7.85,11.7,0.309
1/29/1988,1988,1,10,1.61,7.86,11.8,0.308
1/29/1988,1988,1,8,1.59,7.86,11.7,0.302
1/29/1988,1988,1,6,1.49,7.89,12.1,0.301
1/29/1988,1988,1,4,1.47,7.89,12.2,0.301
1/29/1988,1988,1,2,1.43,7.88,12.2,0.297
1/29/1988,1988,1,0.1,0.39,7.88,12.7,0.300
2/5/1988,1988,2,30,2.39,7.58,10.4,0.289
2/5/1988,1988,2,42,2.34,7.61,10.4,0.298
2/5/1988,1988,2,35,2.31,7.61,10.5,0.296
2/5/1988,1988,2,25,2.29,7.56,10.4,0.292
2/5/1988,1988,2,40,2.28,7.62,10.5,0.298
2/5/1988,1988,2,20,2.15,7.55,10.7,0.293
2/5/1988,1988,2,18,1.99,7.55,11.0,0.299
2/5/1988,1988,2,16,1.97,7.54,10.9,0.296
2/5/1988,1988,2,14,1.91,7.54,11.3,0.294
2/5/1988,1988,2,4,1.82,7.33,11.2,0.291
2/5/1988,1988,2,6,1.80,7.40,11.3,0.294
2/5/1988,1988,2,12,1.80,7.55,11.6,0.299
2/5/1988,1988,2,10,1.79,7.51,11.7,0.296
2/5/1988,1988,2,8,1.78,7.47,11.6,0.298
2/5/1988,1988,2,2,1.68,7.27,11.6,0.289
2/5/1988,1988,2,0.1,0.32,7.12,12.2,0.273
2/18/1988,1988,2,46,2.70,7.62,9.2,0.304
2/18/1988,1988,2,40,2.68,7.70,9.7,0.295
2/18/1988,1988,2,44,2.66,7.67,9.6,0.299
2/18/1988,1988,2,48,2.66,7.56,9.0,0.324
2/18/1988,1988,2,30,2.62,7.78,10.3,0.295
2/18/1988,1988,2,42,2.61,7.69,9.8,0.305
2/18/1988,1988,2,25,2.50,7.78,10.5,0.296
2/18/1988,1988,2,35,2.49,7.76,10.4,0.297
2/18/1988,1988,2,20,2.45,7.80,10.6,0.296
2/18/1988,1988,2,10,2.37,7.84,11.0,0.293
2/18/1988,1988,2,8,2.35,7.86,11.3,0.292
2/18/1988,1988,2,6,2.34,7.88,11.5,0.291
2/18/1988,1988,2,12,2.34,7.83,11.0,0.296
2/18/1988,1988,2,4,2.31,7.89,11.6,0.290
2/18/1988,1988,2,18,2.31,7.82,10.9,0.299
2/18/1988,1988,2,14,2.30,7.84,11.2,0.298
2/18/1988,1988,2,16,2.28,7.83,11.1,0.299
2/18/1988,1988,2,2,2.17,7.88,11.6,0.288
2/18/1988,1988,2,0.1,0.88,8.01,13.5,0.271
2/26/1988,1988,2,48,2.91,7.35,6.8,0.320
2/26/1988,1988,2,44,2.75,7.50,8.7,0.300
2/26/1988,1988,2,46,2.72,7.46,8.7,0.308
2/26/1988,1988,2,40,2.60,7.61,9.9,0.299
